P51814	ZNF41
Q86UP3	ZFHX4
Q9Y467	SALL2
O94953	KDM4B
P20823	HNF1A
Q68E01	INTS3
O95785	WIZ
H3K18ac	H3K18AC
Q8N8C0	ZNF781
Q15583	TGIF1
O43251	RBFOX2
Q9UKL3	CASP8AP2
A0A023HHK9	
Q8NCP5	ZBTB44
P21675	TAF1
P0CG00	ZSCAN5DP
Q9H2H0	CXXC4
Q9NPA5	ZFP64
Q96T25	ZIC5
P49639	HOXA1
P55085	F2RL1
P56179	DLX6
A2NVP9	A2NVP9
Q9NQV6	PRDM10
O43474	KLF4
Q96L91	EP400
X5C3Z9	RUNX1
P05549	TFAP2A
Q8IZH1	SS18
A0A126GW21	OR2M7D
Q9NR11	ZNF302
P36402	TCF7
P52744	ZNF138
O43245	P65
Q16158	MYC
A6NDR6	MEIS3P1
A9YTQ3	AHRR
Q6LC06	TOP2BETA
Q9UM89	ZA
P33076	CIITA
P19544	WT1
Q9NQV5	PRDM11
Q86V81	ALYREF
