ID	Uniprot
IGLV5-37	A0A075B6J1
E2F8	A0AVK6
FEZF1	A0PJY2
ZNF320	A2RRD8
BDP1	A6H8Y1
ZNF316	A6NFI3
ZSCAN5C	A6NGD5
SMCHD1	A6NHR9
ZSCAN5B	A6NJL1
ZNF785	A8K8V0
ZBTB42	B2RXF5
MUC22	E2RYF6
OVOL3	O00110
MEN1	O00255
SUPT5H	O00267
ETV2	O00321
BMAL1	O00327
FOXE1	O00358
FOXN3	O00409
MEIS1	O00470
ELL2	O00472
NR5A2	O00482
NFIB	O00712
E2F3	O00716
ARID1A	O14497
BHLHE40	O14503
RFXANK	O14593
ZNF195	O14628
CHD1	O14646
CHD2	O14647
KMT2D	O14686
ZNF197	O14709
PRMT5	O14744
TERT	O14746
MEIS2	O14770
ZNF213	O14771
BACH1	O14867
KLF11	O14901
HAT1	O14929
ZNF263	O14978
XPO1	O14980
SETD1A	O15047
KDM6B	O15054
ZBTB39	O15060
ZBTB5	O15062
TBX3	O15119
ZBTB7B	O15156
TRIM24	O15164
TBXT	O15178
TP73	O15350
HDAC3	O15379
YY2	O15391
FOXP2	O15409
CLOCK	O15516
NKX2-8	O15522
MAFG	O15525
OGG1	O15527
PER1	O15534
ZSCAN9	O15535
KDM6A	O15550
TET3	O43151
ZBTB24	O43167
PRPF4	O43172
HOXC11	O43248
ZNF264	O43296
HOXA2	O43364
TBX1	O43435
CBFA2T2	O43439
MBTPS2	O43462
LAMTOR5	O43504
FOXO3	O43524
XRCC3	O43542
SNAI2	O43623
PLRG1	O43660
ZNF207	O43670
TCF21	O43680
ZBTB14	O43829
CREB3	O43889
RAD21	O60216
SOX15	O60248
SMARCA5	O60264
ZNF292	O60281
ZEB2	O60315
KDM1A	O60341
HBP1	O60381
SYNCRIP	O60506
CREBL2	O60519
FOXD2	O60548
CCNT2	O60583
LMX1B	O60663
MAFK	O60675
PRMT3	O60678
MSC	O60682
ZNF354A	O60765
BRD4	O60885
NBN	O60934
RNGTT	O60942
MITF	O75030
CBFA2T3	O75081
ZNF623	O75123
ZBED4	O75132
PHF2	O75151
ZC3H11A	O75152
KDM4A	O75164
CNOT3	O75175
SIN3B	O75182
ZNF217	O75362
PITX3	O75364
NCOR1	O75376
DEAF1	O75398
MAF	O75444
SAP30	O75446
E2F6	O75461
ZNF324	O75467
NR1I2	O75469
PSIP1	O75475
EED	O75530
FOXH1	O75593
