genes	number.of.tissue.celltype.expressed	Tissue.Celltype.specific.score
CSF1	176	0.266496668847858
XCL2	131	1.09516690579583
XCL1	134	0.976661439009262
FASLG	85	1.73186626738561
TNFSF18	31	3.07246483724658
TNFSF4	132	0.756878373278755
IL10	150	0.750230725455383
IL19	47	2.55159658813028
IL20	65	2.16298995377242
IL24	100	1.33921621759825
TGFB2	134	0.842710127320679
IL1A	114	1.32557902291506
IL1B	168	0.527418462081508
IL37	10	4.70019673294082
IL36G	20	3.6335318580511
IL36A	5	5.81019196453207
IL36B	3	6.49478161983915
IL1RN	155	0.741599089753536
CCL20	152	0.594732884397203
IL12A	99	1.23910357885122
TNFSF10	183	0.0959042384918022
CXCL8	185	0.206076926414516
CXCL6	97	1.47837215665847
PF4V1	51	2.55322083829007
CXCL1	169	0.438188732708563
PF4	53	2.79698207626692
PPBP	59	2.4011274478246
CXCL5	106	1.39999552167233
CXCL3	169	0.42920398254794
CXCL2	184	0.245321305600768
CXCL9	66	2.19350740052083
CXCL10	102	1.44644102054052
CXCL11	50	2.42539936070033
CXCL13	82	1.67572357741719
IL2	72	1.86186690332407
IL21	30	3.2850118020413
IL15	166	0.316066592860028
CCL28	162	0.441976350232038
IL3	5	5.42420606933118
CSF2	80	1.84415166087305
IL5	30	3.93253404589887
IL13	54	2.90196327745387
IL4	38	2.85841649124829
CXCL14	161	0.588399659302519
IL9	1	7.54689445988764
IL17B	44	2.82173687064313
IL12B	10	5.07247741637425
LTA	118	1.01148977158562
TNF	166	0.408252337464765
LTB	170	0.41609992731435
IL17A	43	2.8652098729242
IL17F	27	3.84316824477558
IL6	161	0.587857322075005
CCL26	78	1.89379122980428
CCL24	24	3.93516181309225
IL7	121	0.98525019397056
IL33	134	0.933853434083837
IFNB1	9	4.8568796978978
IFNA21	2	6.65203495634121
IFNA4	0	0
IFNA7	1	7.54689445988764
IFNA10	0	0
IFNA16	0	0
IFNA17	1	7.54689445988764
IFNA14	0	0
IFNA5	13	4.28264932219518
IFNA6	1	7.54689445988764
IFNA13	0	0
IFNA2	3	6.46594245275468
IFNA8	0	0
IFNA1	0	0
IFNE	24	3.53750531200406
IFNK	28	3.30158023951717
CCL27	8	4.98305373390595
CCL19	91	1.72019823527692
CCL21	118	1.30636306047595
TNFSF15	100	1.50942393572069
TNFSF8	133	0.798080102619958
CXCL12	165	0.476576357236823
IL18	173	0.373327788517434
IL23A	144	0.71689225269232
IFNG	117	1.22121769389332
IL26	50	2.53811148356365
IL22	33	3.29462318153147
KITLG	148	0.722621111637001
IL31	8	4.79273565485363
TNFSF11	64	2.05113540910033
TNFSF13B	167	0.460432560078163
IL25	3	6.2070469698694
TGFB3	158	0.509087900304828
IL16	179	0.199794712417005
IL32	185	0.136473945166844
IL27	44	2.55917539237578
CCL22	73	2.09627313029343
CX3CL1	149	0.771352581106018
CCL17	71	2.15526592520717
IL34	96	1.49743827434121
IL17C	67	2.04393097500978
CXCL16	180	0.227086515048582
TNFSF12	185	0.0564473402215791
TNFSF13	94	1.36653299008967
CCL2	168	0.401862210369175
CCL7	58	2.4067421047947
CCL11	53	2.43184883143307
CCL8	99	1.31229768044385
CCL13	76	1.87039580252771
CCL1	6	6.24905990485094
CCL5	173	0.338302273178721
CCL14	99	1.73566183860161
CCL15	57	2.35606516078637
CCL23	116	1.26280749496537
CCL18	117	1.2419413502976
CCL3	178	0.295919086196247
CCL4	179	0.247621825175757
CCL3L1	162	0.533354077734782
CCL4L2	167	0.468828929839218
CSF3	111	1.29797645587981
EBI3	132	1.06900903380647
TNFSF9	172	0.289408041712096
TNFSF14	156	0.576942917447982
CCL25	20	4.36029353618221
IFNL3	2	6.79650671021177
IFNL4	8	5.33576451186916
IFNL1	55	2.32874794397534
CXCL17	97	1.55355488581394
IL11	80	1.84692592900256
LIF	148	0.768633436391289
OSM	149	0.681662363911732
CD40LG	107	1.28567403482696
