genes	Tissue.Celltype.specific.score	number.of.tissue.celltype.expressed
SKI	0.0451246053989966	185
HES5	1.84055793777088	79
E2F2	1.39890849755608	104
GRHL3	2.91189991844507	42
RUNX3	0.314400312035703	178
GMEB1	0.0667012449034274	181
TFAP2E	1.12803650064838	107
POU3F1	0.65490058434343	145
NFYC	0.026708416593681	185
KLF17	4.9662940492017	10
TAL1	1.40562013676646	110
JUN	0.025253848389195	187
NFIA	0.139013868810746	182
GTF2B	0.01254268417297	187
GFI1	1.00411663509603	127
DR1	0.0089122358777852	187
ALX3	1.72094679685335	74
NHLH2	3.74594495038986	19
ZNF697	0.759324780306831	136
ARNT	0.06909280427642	181
RORC	1.15448541154567	111
ZBTB7B	0.0852314070053531	183
ETV3	0.0574769711425411	184
USF1	0.0782308956621378	182
NR1I3	1.17936436968926	110
ATF6	0.0200148106993286	186
PBX1	0.376550919853523	178
LMX1A	3.76069448190428	18
RXRG	2.66121989404664	41
POU2F1	0.0210415901602878	186
TBX19	0.381777788528783	155
LHX4	0.955976749708079	114
NR5A2	1.42520607656561	117
ZNF281	0.0312438654764152	186
ELF3	0.570436210561464	167
MYOG	5.00203760881119	10
ELK4	0.0297348620370826	186
ATF3	0.0897338575395733	186
BATF3	0.352956103665136	165
PROX1	0.96824124520011	133
ESRRG	1.63498181136507	90
PARP1	0.0229955538631535	187
SMYD3	0.096384606096842	183
SOX11	3.17734343703989	36
E2F6	0.0800545009153827	183
MYCN	2.32079021100919	60
NCOA1	0.0133970758309954	187
PREB	0.0366509166686282	185
FOSL2	0.0639559387167135	184
SRSF7	0.0130290393621657	187
SIX3	2.59656959519457	56
SIX2	1.97072994203957	65
EPAS1	0.200432878779683	182
REL	0.0419199702624481	187
MEIS1	0.769230426746554	147
MXD1	0.0878803530001063	185
VAX2	2.30623618592795	51
EGR4	1.36967724740378	101
TCF7L1	0.667612846174862	155
PAX8	0.943228745604276	127
NR4A2	0.0895167476045737	184
DLX2	1.62826816407043	90
SP3	0.00795736452801969	187
ATF2	0.0278454309055858	185
EVX2	5.97380519488743	4
HOXD10	2.77414564051848	45
HOXD8	1.28093858436272	112
NFE2L2	0.0112862057549596	187
NEUROD1	1.25264563152116	102
STAT1	0.0430465307629234	185
STAT4	0.416469743168976	174
SATB2	0.928919460600516	128
KLF7	0.119448875352692	185
CREB1	0.00937245424799093	187
GBX2	4.62581037185564	13
TWIST2	1.04145250571636	126
MTERF4	0.0470185935279027	185
BHLHE40	0.0683003890090343	185
PPARG	0.480068201606481	165
NR2C2	0.0585033627054303	182
SATB1	0.0670372309013884	184
NR1D2	0.0397346490091937	186
THRB	0.557134719339309	155
RARB	0.810424107268023	136
ZNF621	0.0717005423827324	182
HESX1	1.2346810229066	99
MITF	0.525997020282882	165
POU1F1	4.08817148724925	15
ZDHHC23	0.460360227637433	155
NR1I2	3.17736583572691	42
ZNF148	0.0174655489922928	186
KLF15	0.747671403533675	147
GATA2	0.786472142329224	154
SOX14	6.9688528416503	2
ZBTB38	0.0333142554119468	185
TFDP2	0.0578759673319948	184
PLSCR1	0.0781522833719938	184
ZIC1	3.87602249985541	21
MYNN	0.0457960663977566	184
